servico,price,Estado,Cidade
pet_sitting,100.0,DF,Brasília
pet_sitting,35.0,PB,João Pessoa
pet_sitting,60.0,SP,Guaratinguetá
pet_sitting,30.0,RJ,Belford Roxo
pet_sitting,30.0,MG,Contagem
pet_sitting,40.0,SP,Sao Paulo
pet_sitting,30.0,MG,Juiz De Fora
pet_sitting,30.0,PR,Curitiba
pet_sitting,35.0,CE,Fortaleza
pet_sitting,30.0,SP,São José Dos Campos
pet_sitting,60.0,DF,Brasília
pet_sitting,30.0,SP,Avaré
pet_sitting,55.0,RS,Porto Alegre
pet_sitting,120.0,SP,Sao Paulo
pet_sitting,30.0,SP,São Bernardo Do Campo
pet_sitting,30.0,CE,Fortaleza
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,40.0,RJ,Petrópolis
pet_sitting,25.0,SC,Florianopolis
pet_sitting,90.0,RJ,Rio De Janeiro
pet_sitting,65.0,PR,Curitiba
pet_sitting,30.0,SP,Guarulhos
pet_sitting,30.0,PR,Curitiba
pet_sitting,40.0,SC,Florianopolis
pet_sitting,20.0,SP,Sao Paulo
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,30.0,AM,Manaus
pet_sitting,55.0,CE,Fortaleza
pet_sitting,30.0,PR,Toledo
pet_sitting,30.0,GO,Anápolis
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,60.0,GO,Goiania
pet_sitting,35.0,AM,Manaus
pet_sitting,30.0,DF,Brasília
pet_sitting,70.0,SC,Florianopolis
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,40.0,SP,Jaú
pet_sitting,30.0,DF,Brasília
pet_sitting,28.0,MG,Belo Horizonte
pet_sitting,25.0,PR,Curitiba
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,60.0,RS,Porto Alegre
pet_sitting,40.0,SC,Criciúma
pet_sitting,40.0,RS,Porto Alegre
pet_sitting,40.0,RS,Novo Hamburgo
pet_sitting,50.0,SC,Laguna
pet_sitting,40.0,RJ,Duque De Caxias
pet_sitting,35.0,ES,Vila Velha
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,28.0,SC,Florianopolis
pet_sitting,70.0,MG,Belo Horizonte
pet_sitting,54.0,RS,Porto Alegre
pet_sitting,30.0,PR,Maringá
pet_sitting,30.0,RS,Rio Grande
pet_sitting,70.0,SP,Santo_Andre
pet_sitting,50.0,SP,Votorantim
pet_sitting,40.0,RJ,Rio De Janeiro
pet_sitting,50.0,RS,Porto Alegre
pet_sitting,50.0,SP,Sao Paulo
pet_sitting,40.0,SP,Guarujá
pet_sitting,30.0,RJ,Rio De Janeiro
pet_sitting,35.0,RJ,Rio De Janeiro
pet_sitting,28.0,SP,Sao Paulo
pet_sitting,30.0,SP,Sao Paulo
pet_sitting,40.0,RJ,Rio De Janeiro
pet_sitting,45.0,MG,Juiz De Fora
pet_sitting,70.0,DF,Brasília
pet_sitting,30.0,SP,Sao Paulo
